Trajectory Accuracy,Number of Evaluation Points
0.022593021885898366,239
0.022729784424950245,239
0.02489666501709784,237
0.0244601350989386,238
0.021832049805426006,236
0.028866201527838885,236
0.02106746584804841,235
0.023559277111499733,238
0.022354996581490344,236
0.02334598540800634,236
0.02221551291525944,237
0.023926634786004593,236
0.023025513676077226,237
0.023100494314809365,236
0.022469511269658342,237
0.02426960785817305,237
0.02384115088555387,236
0.019973561584901087,239
0.021973843916780846,237
0.024486138986183348,234
0.023651886141136863,240
0.02493862509878821,237
0.022487805882567935,237
0.02312717620791847,235
0.022930158409222825,240
0.02418999378680284,238
0.02267334579973083,239
0.022220037471771877,237
0.025106946536037095,235
0.02532515133641385,239
0.025140104972127392,238
0.022662066351594318,235
0.02135854263954021,238
0.0237224179131436,236
0.022552078863737165,238
0.025860070466842223,237
0.02331806437435641,237
0.01997345171511515,237
0.020736669380997427,238
0.021691661108789697,238
0.023374610230639692,237
0.024289545566047975,237
0.020823561345283504,237
0.02305347973647824,237
0.022316433483968497,237
0.02441787598551988,236
0.021929629749616163,239
0.022321043830308647,236
0.024281562391112625,236
0.021533663020208208,239
0.023016111981062525,238
0.022441239829714545,238
0.021120004471966835,237
0.024183902310371645,237
0.024924033214511268,238
0.020773863229254216,238
0.023183351802859485,237
0.025964212413673228,236
0.020658692029046383,239
0.022828434908327398,238
0.024670285934829485,238
0.02306690458952464,240
0.023882498064631386,236
0.022828663227155117,237
0.02295403261189931,236
0.02023729852887323,237
0.02133780423313717,238
0.023273854152213506,237
0.022281874728814367,238
0.02314604572654547,236
0.02243876555394414,237
0.022191888912723255,238
0.023100531092320527,237
0.02405191979960601,236
0.021219872085804756,237
0.024225530283970953,237
0.02305699161495417,236
0.023794027186711374,237
0.022440998041622928,238
0.021856292905207707,236
