Trajectory Accuracy,Number of Evaluation Points
0.9742496724914368,228
0.9720439854302284,219
0.9777762114893394,227
0.9766805262434433,224
0.9506745063817156,223
0.9944920730475467,220
0.9632535857918023,219
0.9910351034066589,218
0.9189930790751104,218
0.998045868036855,223
1.023310182854033,225
0.9548001045667568,221
0.9783622276017876,217
0.9899600713338992,222
0.9766387823808858,224
0.9661833216232303,226
0.9815922943369942,214
1.0061386266952337,221
0.9907678148180541,219
1.0000779197923837,225
0.974631092229381,225
1.0064747246360606,220
0.9626733266648251,218
0.9865913077456926,218
0.9723017924499404,226
1.005117366410939,219
0.9595888350993653,219
0.9755058778218274,225
0.9768348019475237,219
0.9842361454324897,223
0.970820711898198,216
1.0252433522867999,221
0.9925228700954624,222
0.9878928650731468,220
0.9342395454312521,217
0.9542835493300821,222
0.9654732008150835,225
0.9915176787661695,222
0.9654893095962036,224
0.971686841857956,219
0.9463614001687981,214
0.9852585485253682,223
0.9344725745717304,219
0.9706598115173327,221
0.9379118602633941,225
0.9405086101815899,227
1.0034273978113313,219
0.96645133209026,221
0.9512414369405631,222
0.9757807927785763,218
0.9106683453313433,221
0.9692777037691978,221
0.9680819990261053,226
0.9943815776967312,223
0.9174638602346951,217
0.9884333426967731,220
1.0292443224730914,218
0.9437643823957309,221
0.9696789133835164,224
0.9571706472099383,220
0.9931818063778286,222
0.9751961353641431,226
0.9646949743837278,227
1.0119066250836581,221
0.9432061230055264,223
0.9431747026120573,224
0.9780886496938205,225
0.9884371848660551,219
0.9855024197954585,222
0.9718020900957626,225
0.9390756946843842,224
0.9659669408652016,223
0.9335954940568628,222
0.9568393888095724,222
0.9690794629961579,221
0.9569355923942703,223
1.0256638110059437,220
0.9654979343648118,220
0.9953621969199442,226
1.039406035415939,225
