tx,ty,tz,tx gt,ty gt,tz gt
1.3645453722854757,0.6165098480783329,1.630450784674881,1.3405,0.6266,1.6575
1.3349427981185729,0.6143454679097746,1.5265103650930647,1.283,0.6257,1.5933
1.3220516996202913,0.6145510275091893,1.4827842463196144,1.2582,0.6251,1.5661
1.288217827416502,0.6158829644577503,1.4374212930398473,1.2263,0.6243,1.5324
1.2721237280230036,0.6166162691870046,1.3895548126893609,1.2012,0.6247,1.502
1.2468427618753537,0.622293042644265,1.350618280907049,1.1772,0.6252,1.4713
1.2243808220975796,0.6174224398932158,1.3069314866697845,1.1561,0.6237,1.443
1.2062855854648968,0.6105013111401932,1.26810305853361,1.1371,0.6211,1.4151
1.1898596221095812,0.6129597421685529,1.2358581336232919,1.1211,0.6208,1.3906
1.185779019608847,0.607869489673199,1.2023133379661086,1.111,0.6213,1.3741
1.1730654648549532,0.6077392200579363,1.1848996917996013,1.1045,0.6221,1.3629
1.1594033217931257,0.6185448058673648,1.2047709251347773,1.1011,0.624,1.3615
1.164245302816008,0.6198820374221437,1.2338417327446654,1.1096,0.6227,1.3785
1.1771224560972393,0.6169517852148204,1.2730722039732643,1.1235,0.6223,1.4058
1.1950422662087745,0.621635282775921,1.3243570663469042,1.1411,0.6229,1.4382
1.2191581350800351,0.6229221939012064,1.3696762989021543,1.1627,0.624,1.474
1.2246808994971747,0.6238120953738047,1.4064591954880694,1.1769,0.6236,1.4946
1.2345291404860477,0.6248248069836531,1.4495644933468277,1.195,0.6231,1.5204
1.2424291945436128,0.6297563597798297,1.4943970207746626,1.2138,0.6239,1.5471
1.2668180405650595,0.6317704996821261,1.5434353031651904,1.239,0.6271,1.583
1.283092929612936,0.6269201956538397,1.5891946183763106,1.2636,0.6289,1.6161
1.313389080469975,0.6224402055606323,1.6348662883281424,1.293,0.6283,1.6526
1.3408498766183945,0.5973620055508898,1.672694035900879,1.3282,0.6228,1.6883
1.3560397756850484,0.6220940539970354,1.71191014424447,1.3585,0.6209,1.7176
1.376937856361227,0.6252557546989937,1.7282073644330693,1.3807,0.6239,1.7381
1.3997780080619386,0.6235033768312896,1.732683748602436,1.3963,0.6302,1.7508
1.3874227139154505,0.6162692095074269,1.6973245623115985,1.3518,0.6325,1.7038
1.3529913792622643,0.6074777197166955,1.6756860711433461,1.3204,0.6261,1.6724
1.3144993880514577,0.6080642355633763,1.6550531848583816,1.2914,0.6202,1.6426
1.2634684969613996,0.6095211839608948,1.6190136023706547,1.2427,0.6155,1.5923
1.1900336216918546,0.6227814315191614,1.5675209983831007,1.1754,0.6218,1.5201
1.1547111406927404,0.6289744260970964,1.5279899606015281,1.1379,0.6322,1.473
1.123717847500532,0.6308494229225393,1.4892766297605544,1.1105,0.637,1.4292
1.088541687640089,0.6272268862336832,1.4519247507781339,1.0833,0.6345,1.3807
1.0791204079255707,0.6246536392518587,1.428159656533642,1.0716,0.6321,1.3568
1.0894524596681143,0.6214540729315897,1.456094648814927,1.0895,0.629,1.3834
1.1311319970951423,0.6131637555155913,1.496613694608726,1.1288,0.6242,1.4385
1.1706920756735402,0.6168642015465673,1.54334728463758,1.168,0.6207,1.4884
1.2216504250014437,0.6156470617826243,1.5847113395713315,1.214,0.6162,1.547
1.2769145808670215,0.6151758342243369,1.6495593558728898,1.2721,0.6138,1.6197
1.309662244082611,0.6197392359652543,1.6850692787954953,1.3029,0.6167,1.6579
1.3351970757667886,0.6300322867413772,1.6917278501855089,1.3174,0.6273,1.6796
1.3271963962814406,0.6526511158856264,1.6717495449512276,1.3129,0.6515,1.6555
1.323906505019314,0.6846263380052078,1.6700889808381318,1.3079,0.6765,1.65
1.3190590197815208,0.7084596091824519,1.6620914093108774,1.3017,0.7126,1.6446
1.3086890463391214,0.7450535522152217,1.6557141207320745,1.2964,0.7515,1.6373
1.3096191316489327,0.7763434958355415,1.6342520405175804,1.2931,0.7993,1.6251
1.3033211303248684,0.8138496570889371,1.6336266185883321,1.2933,0.8361,1.6166
1.295209718856099,0.8395473402202667,1.6426823312787164,1.2947,0.8625,1.6136
1.3042063928708527,0.8730644138245263,1.62829767983783,1.2954,0.901,1.6082
1.3031995726982188,0.901511280628306,1.627975307702694,1.2971,0.9357,1.6041
1.3121313755322142,0.8642655358643967,1.6427662041790858,1.3109,0.9167,1.6161
1.3204156328387782,0.8369922349427996,1.6289919164570967,1.311,0.8802,1.6134
1.3119986566530282,0.8090043865944916,1.6358063791131565,1.3102,0.8509,1.6133
1.3123254320156852,0.7851961358341694,1.6346472477306397,1.3098,0.8244,1.6131
1.3165696489482162,0.7523827789176876,1.631760226624386,1.3101,0.7803,1.6141
1.3203579382892068,0.7160968706912924,1.633544755336754,1.3126,0.7384,1.6177
1.3247113657629952,0.6791804354785153,1.6309929075430933,1.314,0.6996,1.6183
1.3228291226304238,0.6471751884941632,1.6280087899097764,1.3129,0.6598,1.6146
1.3215240261914183,0.6214158389975536,1.6240529375836785,1.3103,0.6309,1.6106
1.314009662692979,0.5952815669448995,1.622629070317864,1.3061,0.6005,1.6057
1.3094395881267895,0.5619675465230954,1.6126942923649663,1.2989,0.5572,1.5975
1.3022213091011812,0.5269268581952876,1.6059080297815038,1.2919,0.5179,1.59
1.29573313985084,0.4968416180858992,1.6041087881049207,1.2876,0.483,1.5847
1.2913346055207326,0.4687918520472654,1.6047794186244833,1.2861,0.451,1.5832
