Trajectory Accuracy,Number of Evaluation Points
0.014649238505129879,181
0.015410382474393407,190
0.023488525963799828,188
0.013545673537724753,187
0.017083477665217818,184
0.017197355217918736,193
0.022806620077858004,186
0.020783508635091062,182
0.018089107290289872,187
0.0181747760713058,190
0.015000511745541591,187
0.020510230894967507,184
0.014593912382179866,184
0.021871854465308347,185
0.019577089131753496,184
0.012980227064558475,182
0.01793588981804795,184
0.01407688647926603,184
0.022478772349629687,184
0.02050778202920924,186
0.018751696658568184,183
0.019320553002204928,184
0.021545721610535872,188
0.02613172528303884,194
0.02510331187843669,184
0.021033010980414563,184
0.013435543145013135,188
0.018274189436305304,190
0.02265169208207619,191
0.0172620576205512,187
0.016797369894273235,181
0.018664881634925398,184
0.017003080559467938,186
0.01676351384776357,187
0.017695957805463368,191
0.01964499764954604,185
0.02768627539917386,188
0.030780461362664074,186
0.013088156986226666,181
0.014107897780505372,185
0.018549226985454702,184
0.01760721267445415,180
0.017110847599948475,183
0.018154120115274678,184
0.01730611574128596,186
0.021674976279066054,184
0.02388399029794711,192
0.01850502379544465,183
0.014066079703787355,191
0.01779037189505647,192
0.015932115220223073,184
0.016629546196337802,185
0.014313064590312194,188
0.014854739717939786,184
0.013772321693047573,186
0.016582605754946137,189
0.0192649457144851,184
0.020352372683772647,185
0.012954507467319683,183
0.015469251378754887,186
0.014633507394543836,183
0.015596839157405007,189
0.01332263456192899,182
0.023935428840676492,183
0.017307297185157604,186
0.01334228963680713,189
0.02065880605977088,185
0.016100683356362392,184
0.016112834404929843,186
0.014996689613373158,185
0.02524613564857154,188
0.02408948647082628,186
0.01839498212046405,187
0.02111016721021373,191
0.021922423066633584,187
0.023087995252709003,190
0.017266801504367994,183
0.020876351580933563,180
0.02279982715299823,188
0.011893168577744069,185
