Trajectory Accuracy,Number of Evaluation Points
0.578739870998112,70
0.37631651687664863,78
0.28038467266534195,75
0.6295079360766284,72
0.3060041506488475,85
0.7802177923072083,81
0.33430873968257974,73
0.1590820094948503,76
0.8137232842410314,82
0.23086313056983587,78
0.511116784864442,78
2.128698129103266,78
0.23199109470907178,76
0.5975765737576989,77
0.273337587507255,77
0.5602638604915513,78
2.132450855810436,76
0.01318972372456207,35
0.3101487229813373,78
0.2862570198680463,77
0.3148267223040374,79
0.2427178475906092,75
0.1835498593899365,77
0.27318687717457013,76
0.9500084837617745,74
0.6158590920416759,78
0.38150344834291977,77
0.6236135285402794,78
0.1906655160454589,72
0.4970465221688581,77
0.7990782402262601,77
0.2972309588549089,75
0.5531761876370951,77
0.46259537255682565,77
0.5275775120632404,76
0.06613117514913557,74
0.5300951697147996,75
2.1544200465511314,79
0.6112382223468706,75
0.45768790973631385,75
0.4332598283603602,79
0.1932722799244628,76
0.32485815866717715,74
0.804772504334039,74
0.8766594950358529,77
0.47054790703592536,75
0.7655021653408002,77
1.1025132081398972,80
0.2084897363862558,75
0.4396880798562146,75
0.2148289187479538,73
0.6624006665495082,77
0.17998593994339576,77
0.01160686077521684,36
0.2164206068269801,75
0.2780310348457899,79
2.1288327568085528,71
0.32482860675616704,79
0.8157502867969059,79
2.186890840594234,77
0.24763405507062633,77
0.3892813511966685,81
0.43850364869190217,78
0.5106080727812935,77
0.40849071456749236,77
0.20472513244899387,79
0.309092586885417,79
0.34293769353554954,74
0.30851130984388625,78
0.5590754050940675,76
0.19501731288496138,77
0.38514060744266354,80
0.3534738934219675,75
0.6555016286949114,75
0.47831453847295463,71
0.5817852781676621,75
2.250621964280712,75
0.31475129190468876,74
0.4278035354845654,79
0.6106405006265598,72
