Trajectory Accuracy,Number of Evaluation Points
0.06276267550036863,633
0.0647678318874472,636
0.07387588511565536,638
0.04890687964706314,632
0.03782708784303892,636
0.07982916333145879,633
0.03838234740700054,635
0.07188444547384217,632
0.05781222154729417,635
0.039669706487772516,638
0.08053346804104551,629
0.05159540728068887,633
0.060609763519822286,632
0.051513050361265494,635
0.05728740329264793,635
0.04932623087963253,631
0.05318704945078539,639
0.03827070601185364,631
0.04565354405717503,634
0.06786447795042319,634
0.06315922844002975,633
0.05843528151435112,633
0.03776691813647572,634
0.049047780490597596,634
0.06765142772152039,635
0.0629530243198418,632
0.05562433578728184,632
0.056132793015144004,634
0.06733515170945388,631
0.056565899546569,640
0.04936870714114139,635
0.043769065584246314,636
0.07866531651472025,635
0.049015968189901435,634
0.05352553660845173,631
0.06757999714582108,633
0.06349941656207667,636
0.05062087351921009,634
0.05018325898899322,634
0.0501305518553187,635
0.038846630523416345,635
0.05904289003515713,632
0.05688998229074894,631
0.05456201987241291,634
0.06545563841481239,635
0.052999089617964075,636
0.04370560080732771,635
0.062400664181341284,633
0.06424874692037794,633
0.039404599649906266,634
0.0910115263233028,637
0.04233849311046675,633
0.08019486411326154,638
0.05008872248022161,635
0.04048402826998707,633
0.04660462186801557,634
0.06072699153735966,636
0.035736889550693526,636
0.040349948177461924,635
0.04337579835527748,634
0.06484044224088632,634
0.04687522192771993,633
0.05922814879579026,631
0.07135711429204142,636
0.03379631302892155,634
0.0717062508632303,631
0.04129224825972502,634
0.07396221223031019,633
0.07383214502605036,632
0.055795149443020456,629
0.04144558179803368,635
0.04215546476977936,635
0.05650452167617929,634
0.0634159364368434,635
0.0449691239282322,631
0.04820372357479651,636
0.05547352186032078,636
0.07247508019145507,637
0.04963689205542428,639
0.06648025512719655,634
