tx gt,ty gt,tz gt
-5.551115e-17,0.0,2.220446e-16
0.001289128,-0.01821616,1.310643
0.0004448326,-0.04203318,2.625299
0.002037581,-0.06302801,3.94173
0.002777892,-0.08483761,5.261017
0.004157928,-0.1014678,6.581638
0.007571022,-0.1165874,7.908775
0.008323818,-0.1328035,9.238962
0.007728339,-0.1497649,10.56963
0.006780918,-0.1634547,11.90426
0.003419395,-0.176748,13.24208
-0.001862182,-0.1959202,14.58048
-0.005851755,-0.2177602,15.93066
-0.004267715,-0.236414,17.28222
0.000482789,-0.2537475,18.63469
0.005006086,-0.2699101,19.9867
0.004134686,-0.2931092,21.34127
-0.0007654745,-0.3222297,22.70575
-0.007369324,-0.3468119,24.0721
-0.009719264,-0.3687424,25.44868
-0.005061181,-0.3871399,26.8203
0.001962273,-0.4099385,28.19472
0.005281593,-0.4328977,29.57012
0.007939024,-0.4591179,30.94984
0.006827076,-0.4850133,32.33531
0.008305167,-0.5122367,33.7178
0.0101734,-0.543116,35.11083
0.0121194,-0.5746233,36.50789
0.01511478,-0.5999006,37.90589
0.01696851,-0.6238526,39.30156
0.01942949,-0.643712,40.70437
0.01916344,-0.6707246,42.111
0.02134431,-0.694132,43.51858
0.02622364,-0.7178581,44.92821
0.03086036,-0.739025,46.34127
0.03408031,-0.7610315,47.75704
0.03359221,-0.7839856,49.17963
0.03175532,-0.805635,50.60218
0.02895795,-0.8265408,52.02831
0.02536977,-0.8453836,53.45716
0.02082938,-0.8668316,54.88464
0.0168087,-0.88688,56.3166
0.0132291,-0.9072442,57.7455
0.01007535,-0.9249469,59.17365
0.006524255,-0.9446035,60.60318
0.00276421,-0.9647484,62.02795
-0.001308243,-0.98781,63.45198
-0.002873604,-1.008175,64.87187
-0.005953934,-1.0297,66.2894
-0.01002031,-1.050203,67.70311
-0.0193644,-1.076075,69.11593
-0.02702275,-1.097831,70.53
-0.03513442,-1.118231,71.93978
-0.0421465,-1.135987,73.33986
-0.04677589,-1.153311,74.74245
-0.05327678,-1.177226,76.1445
-0.05458511,-1.197942,77.54079
-0.05287325,-1.218035,78.93496
-0.0495425,-1.236655,80.32545
-0.04883212,-1.258287,81.71095
-0.04838807,-1.278676,83.09721
-0.05269073,-1.300031,84.48367
-0.06072004,-1.320245,85.86562
-0.07518042,-1.343695,87.25015
-0.0843762,-1.362982,88.62909
-0.09813229,-1.38264,90.00634
-0.1110475,-1.399781,91.37524
-0.1283351,-1.418059,92.74128
-0.1454603,-1.435964,94.10339
-0.1697048,-1.45619,95.46076
-0.1913409,-1.476213,96.81382
-0.2120314,-1.496478,98.16545
-0.2344056,-1.517683,99.51513
-0.2485715,-1.534999,100.8603
-0.2694021,-1.556018,102.2054
-0.2867601,-1.575247,103.5459
-0.3053256,-1.596046,104.8845
-0.3153955,-1.613299,106.2208
-0.3343086,-1.638432,107.5653
-0.3508131,-1.661275,108.9064
-0.3737761,-1.686739,110.2446
-0.3943149,-1.710102,111.5766
-0.4137129,-1.733997,112.905
-0.4219683,-1.753986,114.2286
-0.4295899,-1.775004,115.5601
-0.4334779,-1.79423,116.893
-0.4334151,-1.811794,118.2274
-0.4306137,-1.825847,119.5613
-0.4334146,-1.846322,120.9045
-0.4472932,-1.880929,122.2684
-0.4560744,-1.91003,123.6242
-0.4622549,-1.940325,124.9835
-0.4641329,-1.966295,126.3371
-0.4708495,-2.006026,127.6925
-0.4718094,-2.038343,129.0496
-0.47428,-2.073189,130.407
-0.4701254,-2.099489,131.7557
-0.4656937,-2.127702,133.1097
-0.4651028,-2.162932,134.4614
-0.4661197,-2.198388,135.8146
-0.4644953,-2.226309,137.1606
-0.4645723,-2.254854,138.5124
-0.4641807,-2.281749,139.8626
-0.4674418,-2.314866,141.2129
-0.4704574,-2.341886,142.5622
-0.474702,-2.367455,143.9099
-0.4789013,-2.395024,145.2578
-0.4813925,-2.426593,146.6011
-0.484415,-2.462969,147.9538
-0.4832843,-2.489366,149.303
-0.4887986,-2.518617,150.6481
-0.4979854,-2.545628,151.9917
-0.5139897,-2.581792,153.3373
-0.5203405,-2.611885,154.6843
-0.5188374,-2.641449,156.0329
-0.510487,-2.666163,157.3829
-0.4996047,-2.68915,158.7319
-0.4908894,-2.711383,160.0786
-0.4848759,-2.73678,161.429
-0.4836516,-2.760604,162.7788
-0.4767803,-2.787254,164.1295
-0.468784,-2.810667,165.4807
-0.4599264,-2.835558,166.839
-0.449484,-2.861986,168.2
-0.4424438,-2.88656,169.5602
-0.4389717,-2.91424,170.9198
-0.4111543,-2.932731,172.2841
-0.388112,-2.960771,173.6528
-0.3779301,-2.986448,175.0291
-0.3588782,-3.008539,176.4086
-0.3405308,-3.013913,177.7852
-0.3214042,-3.022953,179.1607
-0.3136545,-3.041123,180.542
-0.3089995,-3.0621,181.9214
-0.3140564,-3.088158,183.3098
-0.3186558,-3.114466,184.7039
-0.3141305,-3.137555,186.0994
-0.3087277,-3.164478,187.4988
-0.3089327,-3.193945,188.9003
-0.3070211,-3.221858,190.3048
-0.3030042,-3.25053,191.7128
-0.3007558,-3.281162,193.1213
-0.2979338,-3.314135,194.5397
-0.2945301,-3.344375,195.9592
-0.2955048,-3.384557,197.3809
-0.2998637,-3.419365,198.8011
-0.3150034,-3.471363,200.2242
-0.3321987,-3.515079,201.6573
-0.3485808,-3.555576,203.0948
-0.3518432,-3.580327,204.5325
-0.3481359,-3.604083,205.9704
-0.3438313,-3.628674,207.4183
-0.342198,-3.650886,208.8679
-0.3429638,-3.67436,210.3232
-0.347951,-3.708945,211.7849
-0.3533161,-3.741769,213.2453
-0.3575809,-3.778065,214.7142
-0.3574839,-3.809987,216.1864
-0.3559812,-3.837087,217.6615
-0.3604882,-3.867619,219.1419
-0.3669047,-3.899694,220.6192
-0.3711882,-3.93317,222.1053
-0.3755068,-3.961696,223.5894
-0.3771503,-3.990503,225.0789
-0.3787707,-4.017067,226.5691
-0.3785266,-4.048136,228.0602
-0.3786614,-4.075078,229.5511
-0.3766086,-4.099044,231.0454
-0.3745701,-4.124994,232.5421
-0.3739626,-4.153624,234.0378
-0.3764692,-4.186333,235.539
-0.3784077,-4.220226,237.0446
-0.3814943,-4.253315,238.5499
-0.3829065,-4.285388,240.0603
-0.3820924,-4.315103,241.5712
-0.3818797,-4.347138,243.0873
-0.3796393,-4.377646,244.602
-0.377078,-4.404696,246.1231
-0.3721572,-4.432022,247.6477
-0.3683885,-4.458219,249.1682
-0.3658944,-4.487063,250.6964
-0.3629857,-4.511301,252.2241
-0.3598899,-4.535745,253.757
-0.3565283,-4.558441,255.2885
-0.3518994,-4.58494,256.823
-0.3474488,-4.611578,258.3612
-0.3407995,-4.637604,259.9003
-0.3346776,-4.662237,261.4352
-0.3291338,-4.686551,262.9731
-0.3253738,-4.715745,264.5113
-0.3249046,-4.748173,266.0572
-0.3208179,-4.788372,267.5981
-0.3173943,-4.824679,269.1377
-0.3166024,-4.866052,270.6771
-0.3155943,-4.906588,272.2185
-0.3140401,-4.950219,273.7649
-0.3112309,-4.987626,275.3072
-0.3114206,-5.039836,276.8535
-0.3062026,-5.082755,278.3952
-0.3011292,-5.134136,279.9451
-0.2897536,-5.172038,281.4958
-0.2764899,-5.210037,283.0498
-0.2599233,-5.24169,284.6005
-0.2447296,-5.277598,286.1454
-0.2301583,-5.316244,287.6999
-0.2170805,-5.355148,289.2536
-0.2045251,-5.390475,290.8103
-0.1926927,-5.424878,292.3692
-0.1828271,-5.462578,293.9316
-0.1753107,-5.502144,295.5007
-0.1681708,-5.542654,297.0723
-0.1571664,-5.573209,298.6502
-0.1498301,-5.605662,300.2367
-0.1436567,-5.638056,301.8211
-0.1362308,-5.674045,303.413
-0.1245796,-5.704927,305.0095
-0.1113075,-5.740563,306.6086
-0.1009905,-5.775938,308.2116
-0.0964999,-5.821106,309.8189
-0.09324941,-5.863046,311.4331
-0.09658434,-5.907766,313.0445
-0.106523,-5.952029,314.6682
-0.1079811,-5.990688,316.2953
-0.1086696,-6.032426,317.9241
-0.1058419,-6.068362,319.5525
-0.1039698,-6.106845,321.1823
-0.1009179,-6.143404,322.8139
-0.09883113,-6.185282,324.4397
-0.09648438,-6.224088,326.0682
-0.09411052,-6.268819,327.6976
-0.08496956,-6.305428,329.3242
-0.07442718,-6.342113,330.9508
-0.06421231,-6.372244,332.5694
-0.05844895,-6.413497,334.1893
-0.05434961,-6.45078,335.8024
-0.04949748,-6.492551,337.4097
-0.04548042,-6.532188,339.0211
-0.04257007,-6.571397,340.6287
-0.03930296,-6.601811,342.2462
-0.03681003,-6.628918,343.8528
-0.03514659,-6.652782,345.4525
-0.0345479,-6.677644,347.0554
-0.03707175,-6.708152,348.6551
-0.04156332,-6.737239,350.2532
-0.05261018,-6.773059,351.8478
-0.06277075,-6.805862,353.4464
-0.07506606,-6.843564,355.0379
-0.08570356,-6.882552,356.6308
-0.09729989,-6.921763,358.2218
-0.1091014,-6.958715,359.8125
-0.1223014,-6.995935,361.4037
-0.1322206,-7.034017,362.989
-0.1419952,-7.072717,364.5867
-0.1552999,-7.112398,366.1838
-0.1668615,-7.146884,367.7811
-0.1858911,-7.18829,369.3866
-0.2029185,-7.225081,370.9753
-0.2229981,-7.26884,372.6154
-0.2378134,-7.306808,374.2253
-0.2519893,-7.344936,375.7811
-0.2625878,-7.379336,377.3873
-0.2704012,-7.414418,378.9929
-0.2783585,-7.448411,380.6071
-0.2877925,-7.485057,382.2202
-0.2960866,-7.522079,383.8408
-0.3039652,-7.558709,385.4512
-0.3110174,-7.596748,387.0678
-0.3164538,-7.631598,388.6857
-0.3206582,-7.664429,390.3059
-0.3238003,-7.696195,391.9359
-0.3237896,-7.731691,393.5579
