Trajectory Accuracy,Number of Evaluation Points
0.5585767490825441,164
0.479737709933892,164
0.5952767827177461,164
0.3971014097779544,166
0.48689370554802563,166
0.5272393476207595,166
0.4468698206789118,167
0.4387565912513023,165
0.5688090619787337,167
0.5256357609472243,165
0.567943377304396,165
0.6486750094966076,167
0.5577321411892239,163
0.40168688597599095,164
0.5565493260678815,167
0.547732573014232,166
0.5882376175762046,164
0.6669976829082103,166
0.6068608068550415,167
0.480391447385266,166
0.45058559418046246,165
0.6238626541705963,167
0.6157220776959097,165
0.5570370999902747,164
0.52383460713213,166
0.5067594436556423,165
0.5363769647223015,165
0.5783736564989526,164
0.3550513797343381,166
0.5444395380464517,165
0.44113697335941715,165
0.3816574019662605,166
0.53919190083392,165
0.5000405660258023,166
0.5441454110867798,166
0.561999978161669,165
0.5507658068686717,167
0.42304778317901776,168
0.4508639905140053,167
0.5265438477729073,168
0.4701003896335402,166
0.43099957527551597,168
0.602155943212218,167
0.6380844054953098,166
0.5487600062632965,167
0.4225203645891471,166
0.5242741774360411,167
0.5331980093895784,163
0.5673686216069542,167
0.5437249673006709,165
0.5394724898864998,167
0.49333924864946177,166
0.615956303121063,165
0.6119652120473241,167
0.4889525375588024,168
0.5119653589570669,167
0.39285547381333996,164
0.5538966135870709,165
0.5117815569665394,167
0.4201661981154462,166
0.5933777170308059,165
0.4978513140178043,165
0.5418659225145402,163
0.40802599346371393,167
0.5692648175737054,164
0.42105267512751987,165
0.42367464476381456,166
0.4498509168774394,165
0.5347897695164245,164
0.6930548987118293,165
0.5098923273840257,166
0.4932034043442665,164
0.4369638283110874,165
0.45062046083277996,169
0.5948873213401183,167
0.6333884204373964,165
0.4070504767800386,170
0.564096435393847,169
0.45801390517366086,167
0.5508937760956019,165
