tx,ty,tz,tx gt,ty gt,tz gt
-3.624170005418839,1.7658757735810928,-2.6728561229987884,-4.1569215045,1.7026497168,-2.3881984091
-3.7063827970208973,1.7709844614182393,-2.7130072962551663,-4.2449678031,1.7091442528,-2.4317242631
-3.8025690302099027,1.9011979515895445,-2.699719544184087,-4.3379959724,1.8457515006,-2.4176544372
-3.7648019189999733,1.9290837189227856,-2.6510156146913677,-4.2991390125,1.8764127865,-2.3703039302
-3.7337702943886346,1.9680740538310895,-2.593778157128854,-4.2624335282,1.9198032294,-2.3093448785
-3.7114399912626252,2.0041917304888637,-2.531248874231188,-4.239151056,1.9563388833,-2.2472678762
-3.6991349675221157,2.01867662419133,-2.463483755739774,-4.2244957228,1.9728528797,-2.1743941741
-3.667746165983457,2.05285490082591,-2.3747132354058396,-4.189954857,2.0098969421,-2.0835291405
-3.644183905133238,2.090487524233617,-2.298210694949973,-4.1646539866,2.0495658064,-2.004459437
-3.5894439303813748,2.1337985870073566,-2.159675784919055,-4.1033480714,2.0979025884,-1.8582223411
-3.543114242033977,2.1726897760996766,-2.079905374410358,-4.053665145,2.1394845067,-1.7768375324
-3.496064684788208,2.2232980928722923,-2.014872906301787,-4.0012235192,2.1957640601,-1.7057102124
-3.4113608869251495,2.304871824222827,-1.9123246778074545,-3.9093876628,2.2840668561,-1.5986258257
-3.308270348816881,2.3972675781564465,-1.8252276865294335,-3.802431017,2.3801884936,-1.5104416523
-3.192640501219016,2.464146317484857,-1.7488166398099807,-3.677678699,2.4517961055,-1.4320133663
-3.049885469077492,2.5390559007492266,-1.6703754651666127,-3.525194097,2.5319614989,-1.3506406599
-2.9280267545319356,2.607925664093645,-1.612338568351203,-3.3934578529,2.6047168736,-1.2908264954
-2.803595313008219,2.6841614793036546,-1.5547109390644043,-3.2652099576,2.6806988751,-1.2335114308
-2.669746548731583,2.7506283378257756,-1.4940818964067037,-3.1220492397,2.749475298,-1.1695080658
-2.54142209292164,2.7866712999672383,-1.4084127388472196,-2.9839535611,2.787345115,-1.0790847206
-2.432622016905446,2.813621080162335,-1.325337404099098,-2.8731796624,2.8151895591,-0.9969727672
-2.3318840621239447,2.846846415270615,-1.241164705534181,-2.7606668228,2.8527089655,-0.9037629856
-2.2141239085125024,2.900593967299069,-1.1224430691241822,-2.6306747759,2.9092638614,-0.7800336622
-2.1082492985085555,2.9343055746623143,-1.0440853713449567,-2.5181185576,2.9487403925,-0.6986546367
-1.9838495040719235,2.969679876121102,-0.9760020571467645,-2.3933280509,2.9865486551,-0.6318013736
-1.8050360002195838,2.9995620274016304,-0.8976058162332363,-2.196580868,3.0176670396,-0.5492705571
-1.6733239002815936,3.0345207176957976,-0.8597663670479594,-2.0642770216,3.0527384007,-0.5115679473
-1.5056249680412077,3.056122384738752,-0.8066352745403784,-1.8798613371,3.0791384325,-0.4562044509
-1.329211482812081,3.085296850646894,-0.7491152798904055,-1.7012485453,3.1071569842,-0.400887021
-1.1508073521673032,3.1282884299831784,-0.7104369393835344,-1.5050426251,3.1523563324,-0.3604431553
-0.9822869927136249,3.1548395565789247,-0.6844976309631965,-1.3289428522,3.1798067862,-0.3357236971
-0.7731570441902047,3.175337011990833,-0.6602135191454419,-1.0984556487,3.2022596033,-0.313695238
-0.5912192165752441,3.191319173191629,-0.6537594445921795,-0.9154428693,3.2156511434,-0.3094599553
-0.3736572741551054,3.194516809488232,-0.65192815383215,-0.6775724711,3.2174349125,-0.3102103915
-0.1439263717417476,3.1918945400190726,-0.6607959210671424,-0.4352564807,3.2123173679,-0.3226683813
0.08600004176963072,3.186421548241086,-0.6741542611279787,-0.1977616169,3.2019917344,-0.3392394433
0.31473309227458435,3.1957141491048224,-0.694438464178172,0.0461338931,3.2112635267,-0.3646933043
0.5095351803331138,3.1949764287401674,-0.7096196264792218,0.2492925686,3.2080562451,-0.3830279693
0.7183927700202308,3.1637879959850626,-0.7198796092987969,0.47251929,3.1739823321,-0.3956131368
0.9289312207663047,3.1052035597846652,-0.7115704274472103,0.6960664728,3.1072660605,-0.3907879373
1.124856193370921,3.056880746164084,-0.7005679868208745,0.9073590844,3.0546943407,-0.3802756455
1.3126551977379175,3.035765701781828,-0.6945202046854324,1.1036252491,3.0280713002,-0.37811206
1.5198835955012364,3.0022816325876445,-0.6878979336552111,1.3239931918,2.9954670708,-0.3722876764
1.7184056140133541,2.950647109930517,-0.667138947095343,1.528871181,2.9394731597,-0.3544497231
1.907118900970684,2.892433113741923,-0.6353483608522468,1.7329300906,2.8725879729,-0.3276510809
2.084367948900969,2.830620868613672,-0.6060529364746032,1.9248148213,2.8083489376,-0.2964659375
2.251545887726579,2.7828488248513326,-0.5844150334933764,2.0987498903,2.7574079261,-0.2773373285
2.4018318799155858,2.7160609197619006,-0.5738831233136104,2.2620647778,2.6831533887,-0.2687230207
2.5313723444267793,2.6407564933477903,-0.5783745115637884,2.3975541617,2.602977296,-0.2759261375
2.6587525671957066,2.528996995267221,-0.609986275554848,2.5295341182,2.4839186406,-0.310781336
2.72941857684548,2.4210769775538084,-0.6571923776019823,2.6028107228,2.3672181501,-0.3607161408
2.7626125437000257,2.305180033697024,-0.7356873499961905,2.6361436699,2.2431032597,-0.445164805
2.708004344450598,2.208250473100952,-0.8198029074865207,2.5763380242,2.1380616781,-0.5326587414
2.601789703721846,2.1298901670530226,-0.8745733476731752,2.4572226258,2.050628391,-0.5908539182
2.4781460684452026,2.0762830798430723,-0.9164186990312224,2.3248142183,1.9962894349,-0.632012483
2.332780375526607,2.0500015729017367,-0.9586007373136372,2.1714323005,1.9669925338,-0.672265877
2.1490534530638654,2.042612394796005,-0.9984814586212376,1.9652483422,1.9574790363,-0.7135350691
2.0179241625827307,2.0615389243357494,-1.0138102011000556,1.8234100343,1.9754944961,-0.7262483767
1.853759610379528,2.0918870141486714,-1.0093734221758994,1.6496047469,2.0055332691,-0.7178316647
1.7080373880217503,2.1078712945422122,-0.9704945452103624,1.5013978237,2.0184384726,-0.676168638
1.5492120680107537,2.131186760219735,-0.9140951669434958,1.3271027849,2.0409391412,-0.6137481661
1.3937868281938672,2.156374253506832,-0.8744310051789046,1.1630328544,2.0648601512,-0.5690585444
1.2521301014260842,2.165863202168496,-0.8443978893471966,1.0172788237,2.0817876955,-0.5377930433
1.0656930061576353,2.173847201764402,-0.8084715748267559,0.8222722705,2.0975582737,-0.4980491945
0.8787516385217073,2.1802203092018324,-0.7650547905072849,0.6276358793,2.1136197066,-0.4501856635
0.6739347240237019,2.2096214608474005,-0.6764564606854966,0.4072217696,2.150971091,-0.3484680356
