Trajectory Accuracy,Number of Evaluation Points
0.058990702371585414,196
0.054198084528753104,197
0.05461002047736403,201
0.05997267375660187,201
0.06098203372244997,198
0.05535768440318319,200
0.054962568009502624,199
0.05667934216863188,201
0.06162028125999046,198
0.0554994584845124,199
0.054832603775653785,201
0.058612177302780524,202
0.055420060767971326,199
0.05676598546907528,199
0.06185118078421409,200
0.052479500270349706,203
0.05655931311291736,201
0.0554894258054463,197
0.06326048521860578,200
0.06031236991037309,196
0.056096125648870274,198
0.05873752794059228,202
0.0542210925852843,203
0.0578055301409528,196
0.05881133559624878,197
0.05850805576062286,201
0.05534137671170905,202
0.059265064532493555,198
0.054633270373104226,198
0.05540290674223121,203
0.06438368473854732,200
0.056036706644054315,199
0.06098948042411488,197
0.057624831862515324,198
0.06090231423991675,199
0.0551495100579178,200
0.05637664613109798,203
0.05377768123323718,200
0.05675162789200077,201
0.05743988812129418,199
0.05747599260273683,200
0.06468397535336895,198
0.05496258987518897,199
0.056243111411282895,204
0.05553145870418558,199
0.05713936764286154,200
0.05821643054977383,204
0.0648726880640622,200
0.06683731285713272,200
0.06182175542134786,200
0.06444651785811907,202
0.05525632936454519,203
0.047395741780461624,201
0.0578372888393988,198
0.056203659660653334,199
0.06096071605474957,207
0.062372347293611984,199
0.05625907295312632,199
0.058701077371799075,200
0.06089160524143088,198
0.05626714457678728,202
0.05929905570706357,200
0.06069118965327051,202
0.058543386085985145,200
0.0617010422756019,198
0.06164946921934308,197
0.05951417900767192,198
0.05977064958582184,198
0.055413252438365035,201
0.0596398265662764,202
0.056244627262838694,201
0.057667449259402995,200
0.06332816371081396,200
0.05342897214839424,200
0.05900396310619776,201
0.057105438089229396,197
0.055088017047590004,198
0.06031967995635964,200
0.06023667484850818,197
0.06185452406328439,198
