tx,ty,tz,tx gt,ty gt,tz gt
1.3637318441196824,0.6212919827413355,1.6285171140936516,1.3405,0.6266,1.6575
1.3343780795590068,0.6181316681306763,1.524747362685193,1.283,0.6257,1.5933
1.3220288355178025,0.616314495966745,1.480500764514103,1.2582,0.6251,1.5661
1.287810525751257,0.6180668904059594,1.4352809533984963,1.2263,0.6243,1.5324
1.2730481711635915,0.6172040996177278,1.386868199065466,1.2012,0.6247,1.502
1.2480856769747497,0.6215776618658773,1.3477034811255464,1.1772,0.6252,1.4713
1.2240903590583583,0.619602174992596,1.3070430260932309,1.1561,0.6237,1.443
1.205949127260474,0.6131704078265015,1.2694380163864984,1.1371,0.6211,1.4151
1.1907473285786152,0.613462705843352,1.235336920326872,1.1211,0.6208,1.3906
1.186787517140776,0.6084405146090404,1.202915307376391,1.111,0.6213,1.3741
1.1742548808195614,0.6078016099519872,1.1848373439083197,1.1045,0.6221,1.3629
1.159738765690021,0.619060122144402,1.2047901991758256,1.1011,0.624,1.3615
1.1646857674695992,0.6206673700619656,1.2334285764653294,1.1096,0.6227,1.3785
1.1768238733110568,0.6190320339123945,1.2733708219597843,1.1235,0.6223,1.4058
1.1953023936623302,0.623581703657067,1.3236256499759753,1.1411,0.6229,1.4382
1.2189637746641242,0.6245702680041004,1.3682815878128356,1.1627,0.624,1.474
1.223286813144059,0.6267640296009666,1.4064578206234792,1.1769,0.6236,1.4946
1.2333366437347575,0.627558169544726,1.4486093379180252,1.195,0.6231,1.5204
1.2417909453528666,0.6313614388814786,1.4923167347996444,1.2138,0.6239,1.5471
1.2664881668978738,0.6345718199307203,1.5401606191020807,1.239,0.6271,1.583
1.283564587362621,0.6287978633178325,1.5850283672801335,1.2636,0.6289,1.6161
1.315191233931539,0.625078105872724,1.6295588594338333,1.293,0.6283,1.6526
1.3413834521580559,0.6035439872852056,1.6537626032104453,1.3197,0.6246,1.6804
1.3452959693609845,0.618602860803813,1.7090573279233907,1.3511,0.6208,1.7107
1.3635578023331878,0.6195054523077185,1.7369912111767274,1.3742,0.6225,1.7325
1.3943654746232477,0.6265129970931751,1.739064285778489,1.3929,0.6281,1.7481
1.3694296009406992,0.6134333419889062,1.7000616682745173,1.3392,0.6304,1.6917
1.3412252689487048,0.6062485944047464,1.6691064863620346,1.3087,0.6235,1.6601
1.3100686510918755,0.6079485051128148,1.6441782226209505,1.2797,0.6182,1.6304
1.2532321216980102,0.608214529311563,1.6112375037163982,1.234,0.6155,1.5835
1.1907469198203344,0.6245110097545272,1.5650802108163857,1.1754,0.6218,1.5201
1.155423048736107,0.6318739103091269,1.5243465330282124,1.1379,0.6322,1.473
1.1247387084229492,0.6349833137020026,1.4844765288406823,1.1105,0.637,1.4292
1.0900665677923271,0.6303653695827807,1.4462041780338888,1.0833,0.6345,1.3807
1.081694142473615,0.6272655735458103,1.420205698338117,1.0716,0.6321,1.3568
1.0782200106428712,0.6222228637409158,1.4358945594987411,1.0802,0.6303,1.3681
1.1146665368582376,0.617226037153392,1.474217840671142,1.1105,0.6262,1.4145
1.1551975040081286,0.6147232731080147,1.513511390013164,1.1492,0.6226,1.464
1.1958184083998984,0.61538096955913,1.5654463389552526,1.1909,0.6181,1.5175
1.2397388093132846,0.6077355965404884,1.6111846771130762,1.2324,0.6147,1.571
1.2900546539820297,0.6110903698527281,1.6579476428365374,1.2794,0.6141,1.6287
1.321797043437168,0.6168215398492619,1.6888886578687743,1.3088,0.6183,1.6648
1.3422576049824912,0.635298109448746,1.6881851137703323,1.318,0.6419,1.6801
1.3253398501255886,0.665398827188922,1.6737391079517725,1.3097,0.667,1.652
1.3196265653052193,0.6947007377581688,1.668013939852512,1.3037,0.7011,1.6464
1.3176771472587878,0.7263080849148795,1.6562657516936714,1.2973,0.7398,1.6394
1.3149329292431589,0.7572072993068555,1.6483354432771546,1.2942,0.7777,1.6311
1.31060082968343,0.7858836295984066,1.6408685278683246,1.2928,0.8138,1.6215
1.3011624534794846,0.8283893223009311,1.642404976243703,1.2938,0.8512,1.6146
1.3037645627864725,0.8624954325819163,1.637858377883663,1.2951,0.8897,1.6099
1.3060539340122566,0.8937637670218126,1.628549003088115,1.297,0.926,1.6048
1.3147487787148608,0.8663512244111037,1.643392082734399,1.3109,0.9167,1.6161
1.3243200155342638,0.8383520899635417,1.6293863440637883,1.311,0.8802,1.6134
1.3136128980537483,0.8035219895168035,1.6388352486589073,1.3102,0.8509,1.6133
1.3142968728316755,0.7819378081946075,1.6364233164256772,1.3098,0.8244,1.6131
1.3190969684785676,0.7520917124425583,1.63329322396226,1.3101,0.7803,1.6141
1.322754865211441,0.7172549316582708,1.636607199032104,1.3126,0.7384,1.6177
1.3270413527490423,0.680601923500135,1.634372865564078,1.314,0.6996,1.6183
1.3255759380587497,0.6473761302611014,1.6309015656527324,1.3129,0.6598,1.6146
1.3215836719010152,0.6053343977848603,1.6221743003544333,1.3083,0.6179,1.6084
1.3146039240200107,0.5711519072321799,1.6158275673166254,1.3017,0.5744,1.6007
1.3085341768181948,0.5360955991841263,1.607489488334497,1.2946,0.533,1.5928
1.2999073600420397,0.5103392309824791,1.6079586259431142,1.2904,0.5071,1.5883
1.2954038664621246,0.48173363291536647,1.6051581266891368,1.287,0.4733,1.584
1.2953228233267269,0.4515680930611461,1.6032293337543464,1.286,0.4408,1.5829
1.299650433440546,0.41697361055401766,1.5976868236644064,1.286,0.4043,1.5804
1.2962703976654262,0.3968774602720464,1.596835927163901,1.2862,0.3784,1.5782
1.2948657225089164,0.37292064121138513,1.5936076392991407,1.2863,0.3449,1.574
1.2958676101711133,0.3480341295686442,1.5896442864942284,1.2864,0.3123,1.5722
1.2963318966777921,0.3752714702698535,1.5833551366495053,1.2873,0.3382,1.5672
1.2894589827099434,0.40826364042113283,1.582127515888978,1.2881,0.3669,1.568
1.2860907469200298,0.4357972182000675,1.5852008111214844,1.2884,0.4004,1.5699
1.2912880139271001,0.4686843543445326,1.5875018407787713,1.2878,0.4527,1.5715
1.2828014427738483,0.5097875953530989,1.5842569945782004,1.2875,0.4777,1.5727
