tx gt,ty gt,tz gt
1.3563,0.6305,1.638
1.3543,0.6306,1.636
1.3525,0.6306,1.6339
1.3502,0.6306,1.6318
1.3482,0.6308,1.6298
1.3462,0.6308,1.6275
1.3439,0.6308,1.6253
1.3417,0.6308,1.6231
1.3397,0.6307,1.621
1.3375,0.6306,1.6187
1.3349,0.6304,1.6164
1.3328,0.6303,1.6138
1.3302,0.6299,1.6112
1.3278,0.6296,1.6087
1.3258,0.6295,1.6062
1.3228,0.6291,1.6034
1.3208,0.6289,1.6008
1.3179,0.6286,1.5979
1.315,0.6284,1.595
1.3118,0.6278,1.592
1.3098,0.6274,1.589
1.3066,0.6269,1.5857
1.3034,0.6265,1.5825
1.3007,0.6262,1.5792
1.2977,0.6259,1.5761
1.2943,0.6252,1.5726
1.2913,0.6248,1.5691
1.2886,0.6245,1.5658
1.2856,0.6241,1.5621
1.2817,0.6235,1.5583
1.279,0.6233,1.5548
1.2755,0.6228,1.5511
1.2726,0.6226,1.5474
1.2693,0.6222,1.5437
1.2661,0.622,1.5401
1.2632,0.622,1.5367
1.2597,0.6215,1.5328
1.2567,0.6216,1.5292
1.2533,0.6213,1.5253
1.2502,0.6212,1.5217
1.2473,0.6211,1.518
1.2443,0.6208,1.5142
1.2411,0.6207,1.5106
1.2381,0.6204,1.507
1.2351,0.6203,1.5035
1.2322,0.6201,1.5
1.2292,0.6199,1.4966
1.2263,0.6199,1.4931
1.2234,0.6198,1.4897
1.2204,0.6198,1.4862
1.2175,0.6197,1.4826
1.2146,0.6198,1.479
1.2116,0.6199,1.4754
1.2087,0.6201,1.4719
1.2058,0.6202,1.4683
1.2028,0.6203,1.4647
1.2001,0.6205,1.4614
1.1972,0.6207,1.4579
1.1945,0.6208,1.4545
1.1917,0.6211,1.4511
1.1889,0.6212,1.4477
1.1862,0.6215,1.4444
1.1836,0.6216,1.4411
1.181,0.6219,1.4378
1.1783,0.6222,1.4347
1.1758,0.6223,1.4317
1.1733,0.6227,1.4286
1.1706,0.623,1.4256
1.1682,0.6234,1.4228
1.1658,0.6238,1.4199
1.163,0.6242,1.417
1.1607,0.6245,1.4142
1.1583,0.6249,1.4115
1.1557,0.6253,1.4089
1.1534,0.6256,1.4061
1.151,0.6262,1.4034
1.1488,0.6266,1.401
1.1466,0.6271,1.3983
1.1443,0.6275,1.3958
1.1419,0.6279,1.3933
1.1398,0.6282,1.3908
1.1378,0.6287,1.3885
1.1355,0.629,1.3862
1.1333,0.6294,1.3836
1.1313,0.63,1.3812
1.1293,0.6303,1.3789
1.1273,0.6308,1.3765
1.1251,0.6312,1.3742
1.1235,0.6316,1.372
1.1213,0.6321,1.3697
1.1192,0.6325,1.3672
1.1172,0.6329,1.3649
1.1154,0.6334,1.3626
1.1134,0.6339,1.3602
1.1115,0.6343,1.3581
1.1096,0.6349,1.3557
1.1078,0.6355,1.3536
1.1061,0.6361,1.3513
1.1042,0.6367,1.3492
1.1026,0.6371,1.3468
1.1007,0.6378,1.3447
1.0992,0.6384,1.3427
1.0978,0.6389,1.3407
1.0963,0.6395,1.339
1.095,0.6401,1.3371
1.0935,0.6407,1.3352
1.0923,0.6412,1.3336
1.091,0.6417,1.3317
1.0897,0.6423,1.3301
1.0886,0.6429,1.3285
1.0876,0.6434,1.3271
1.0869,0.6437,1.3256
1.0861,0.6441,1.3244
1.0854,0.6446,1.3236
1.085,0.6449,1.3227
1.0846,0.645,1.3221
1.0843,0.6451,1.3216
1.0841,0.6452,1.3214
1.0841,0.6453,1.3214
1.0842,0.6453,1.3217
1.0844,0.6452,1.3221
1.085,0.6452,1.3226
1.0854,0.6452,1.3233
1.0861,0.6451,1.3243
1.0871,0.6449,1.3257
1.0879,0.6445,1.3271
1.089,0.6444,1.3291
1.0903,0.6443,1.331
1.0917,0.6439,1.3332
1.0931,0.6434,1.3357
1.0947,0.6429,1.3382
1.0964,0.6425,1.3409
1.0981,0.6419,1.3435
1.1,0.6414,1.3465
1.102,0.6408,1.3496
1.1039,0.6403,1.3528
1.106,0.6398,1.3561
1.1083,0.6391,1.3594
1.1102,0.6384,1.3627
1.1125,0.6379,1.3662
1.1148,0.6373,1.3699
1.117,0.6366,1.3733
1.1196,0.6362,1.3769
1.1219,0.6357,1.3803
1.1242,0.6352,1.3837
1.1266,0.6348,1.3872
1.1291,0.6341,1.3907
1.1316,0.6338,1.3941
1.1342,0.6332,1.3976
1.1367,0.6327,1.4009
1.1395,0.6322,1.4044
1.1422,0.6318,1.4079
1.145,0.6314,1.4115
1.1477,0.6311,1.4152
1.1506,0.6308,1.419
1.1536,0.6305,1.4227
1.1563,0.6302,1.4264
1.1595,0.63,1.4302
1.1624,0.6297,1.4339
1.1655,0.6294,1.4377
1.1681,0.6291,1.4414
1.1712,0.629,1.4453
1.1741,0.6288,1.449
1.1773,0.6286,1.4527
1.1803,0.6284,1.4564
1.1832,0.6282,1.4603
1.1862,0.628,1.4643
1.1893,0.6281,1.4682
1.1919,0.6278,1.472
1.1955,0.6278,1.476
1.1983,0.6276,1.4797
1.2017,0.6277,1.4836
1.2049,0.6276,1.4875
1.2081,0.6274,1.4913
1.2114,0.6273,1.4953
1.2144,0.6273,1.4992
1.2175,0.6272,1.503
1.2205,0.627,1.5069
1.2238,0.6268,1.5108
1.227,0.6268,1.5148
1.2301,0.6265,1.5186
1.233,0.6263,1.5224
1.2359,0.626,1.5265
1.2388,0.6258,1.5304
1.2421,0.6259,1.5343
1.245,0.6256,1.5381
1.2478,0.6253,1.5417
1.2509,0.6252,1.5457
1.2536,0.625,1.5494
1.2563,0.6246,1.5531
1.2592,0.6244,1.557
1.262,0.6242,1.5606
1.2646,0.624,1.5641
1.2674,0.6239,1.5678
1.2704,0.6236,1.5714
1.2728,0.6235,1.5748
1.2754,0.623,1.5783
1.2778,0.6229,1.5818
1.2799,0.6227,1.5851
1.2825,0.6226,1.5884
1.2847,0.6224,1.5917
1.2873,0.6222,1.595
1.2895,0.622,1.5981
1.2918,0.622,1.6012
1.2939,0.6219,1.6042
1.2963,0.6218,1.6075
1.2983,0.6217,1.6104
1.3007,0.6217,1.6133
1.3028,0.6215,1.6159
1.3049,0.6215,1.6186
1.3067,0.6215,1.6213
1.3088,0.6213,1.6239
1.3107,0.6211,1.6265
1.3131,0.6212,1.6291
1.3152,0.6213,1.6315
1.3167,0.621,1.6338
1.3185,0.6209,1.636
1.3206,0.621,1.6384
1.3226,0.6209,1.6406
1.3249,0.6211,1.6428
1.3266,0.6208,1.6447
1.3284,0.6206,1.6469
1.3307,0.6207,1.6491
1.3324,0.6205,1.6512
1.3343,0.6202,1.6532
1.3361,0.62,1.6553
1.3381,0.6199,1.6573
1.3401,0.6198,1.6593
1.3419,0.6195,1.6612
1.3443,0.6195,1.6632
1.3458,0.6194,1.6649
1.3477,0.6192,1.6668
1.3492,0.619,1.6684
1.3514,0.6189,1.6702
1.353,0.619,1.6719
1.3549,0.6189,1.6734
1.3568,0.6189,1.6753
1.3585,0.619,1.677
1.3602,0.6189,1.6787
1.3619,0.6187,1.6804
1.3636,0.6186,1.6821
1.3655,0.6186,1.6837
1.3671,0.6185,1.6852
1.3688,0.6186,1.6869
1.3704,0.6185,1.6883
1.3722,0.6185,1.6898
1.3738,0.6186,1.6913
1.375,0.6185,1.6926
1.3768,0.6187,1.6943
1.3782,0.6185,1.6956
1.38,0.6185,1.6972
1.3812,0.6186,1.6987
1.3826,0.6185,1.7
1.3841,0.6187,1.7014
1.3852,0.619,1.703
1.3865,0.619,1.7044
1.3879,0.6192,1.7057
1.3896,0.6193,1.7074
1.391,0.6195,1.7087
1.3923,0.6196,1.7101
1.3936,0.6199,1.7115
1.3954,0.6201,1.7131
1.3965,0.6202,1.7145
1.3979,0.6204,1.7163
1.3994,0.6208,1.7179
1.4006,0.621,1.7195
1.402,0.6214,1.7212
1.4034,0.6217,1.7229
1.4047,0.622,1.7246
1.4062,0.6223,1.7263
1.4074,0.6228,1.7278
1.4086,0.6231,1.7295
1.4101,0.6237,1.7311
1.4113,0.6239,1.7325
1.4127,0.6246,1.7342
1.4138,0.625,1.7355
1.4144,0.6254,1.7371
1.4159,0.6258,1.7385
1.4162,0.6264,1.7399
1.4168,0.6266,1.741
1.4182,0.6271,1.7427
1.4189,0.6273,1.7439
1.4197,0.6279,1.7452
1.4206,0.6282,1.7464
1.4212,0.6287,1.7476
1.4219,0.6291,1.7487
1.4239,0.6298,1.7505
1.4245,0.6302,1.7518
1.4251,0.6306,1.753
1.4257,0.6312,1.754
1.4263,0.6316,1.7552
1.4269,0.6321,1.7562
1.4272,0.6326,1.7571
1.4274,0.6333,1.7579
1.4278,0.6337,1.7587
1.4279,0.6341,1.7595
1.4282,0.6345,1.7601
1.428,0.6348,1.7607
1.4281,0.6355,1.7612
1.428,0.6358,1.7615
1.4279,0.6362,1.7616
1.4276,0.6365,1.7614
1.4271,0.6368,1.7611
1.4269,0.6372,1.7607
1.4267,0.6375,1.7602
1.426,0.6377,1.7596
1.4254,0.638,1.7588
1.4249,0.6382,1.758
1.4236,0.6384,1.7567
1.4226,0.6386,1.7557
1.4217,0.6386,1.7544
1.4209,0.6387,1.7531
1.4199,0.6388,1.7516
1.4189,0.6389,1.7502
1.4167,0.639,1.7483
1.4151,0.6388,1.7466
1.4141,0.6385,1.7449
1.4126,0.6382,1.7432
1.4116,0.6379,1.7411
1.4101,0.6378,1.7388
1.4083,0.6375,1.7364
1.4067,0.6373,1.7339
1.4053,0.6372,1.7316
1.4034,0.6369,1.7291
1.4017,0.6366,1.7267
1.3996,0.6361,1.7243
1.3977,0.6359,1.7219
1.3957,0.6355,1.7195
1.3939,0.6351,1.7169
1.3918,0.6346,1.7142
1.3899,0.6343,1.7118
1.3877,0.6338,1.7091
1.3858,0.6334,1.7066
1.3833,0.6332,1.7038
1.3814,0.6327,1.7013
1.3791,0.6324,1.6987
1.3763,0.632,1.6959
1.3736,0.6316,1.6933
1.3715,0.6313,1.691
1.3698,0.6309,1.6889
1.3669,0.6305,1.686
1.3644,0.6299,1.6833
1.3622,0.6296,1.6806
1.3605,0.6294,1.6785
1.3581,0.6291,1.676
1.3549,0.6285,1.6729
1.3528,0.6284,1.6704
1.3504,0.6279,1.6678
1.3476,0.6277,1.6652
1.3452,0.6273,1.6627
1.3434,0.6271,1.6606
1.3405,0.6266,1.6575
1.3378,0.6263,1.6546
1.3352,0.6261,1.6519
1.3329,0.6258,1.6493
1.3303,0.6256,1.6464
1.328,0.6254,1.6437
1.3253,0.6252,1.6409
1.323,0.6252,1.6384
1.3205,0.6253,1.6357
1.3184,0.6253,1.633
1.316,0.6254,1.6302
1.3131,0.6254,1.6274
1.3111,0.6255,1.6249
1.3084,0.6254,1.6221
1.3066,0.6256,1.6196
1.3041,0.6256,1.617
1.3018,0.6257,1.6145
1.2991,0.6257,1.6118
1.2968,0.6257,1.6092
1.2945,0.6257,1.6066
1.2922,0.6256,1.6041
1.29,0.6258,1.6014
1.2875,0.6257,1.5987
1.2854,0.6257,1.5961
1.283,0.6257,1.5933
1.2804,0.6257,1.5905
1.2778,0.6257,1.5877
1.2757,0.6256,1.5853
1.2733,0.6255,1.5824
1.2708,0.6255,1.5796
1.2683,0.6255,1.577
1.2656,0.6253,1.5742
1.2631,0.6252,1.5716
1.2606,0.6251,1.5688
1.2582,0.6251,1.5661
1.2557,0.625,1.5636
1.2531,0.6247,1.561
1.2509,0.6247,1.5583
1.2482,0.6245,1.5557
1.2457,0.6245,1.5533
1.2434,0.6244,1.5508
1.2411,0.6245,1.5483
1.2389,0.6244,1.5458
1.2361,0.6246,1.5432
1.2336,0.6244,1.5407
1.2316,0.6245,1.5382
1.2287,0.6243,1.5352
1.2263,0.6243,1.5324
1.2237,0.6242,1.5295
1.2215,0.6244,1.5265
1.219,0.6245,1.5236
1.2165,0.6243,1.5207
1.2142,0.6244,1.5178
1.2115,0.6245,1.5147
1.2089,0.6245,1.5116
1.2064,0.6248,1.5084
1.2037,0.6247,1.5053
1.2012,0.6247,1.502
1.1986,0.6247,1.499
1.1962,0.6247,1.4959
1.1937,0.6248,1.4929
1.1911,0.625,1.4896
1.1887,0.6249,1.4865
1.1865,0.625,1.4834
1.1843,0.6252,1.4803
1.1821,0.6252,1.4773
1.1797,0.6252,1.4743
1.1772,0.6252,1.4713
1.175,0.6251,1.4685
1.1729,0.6251,1.4656
1.1707,0.625,1.4627
1.1687,0.6249,1.4599
1.1666,0.6247,1.457
1.1644,0.6247,1.4541
1.1622,0.6244,1.4513
1.1602,0.6242,1.4484
1.1582,0.624,1.4458
1.1561,0.6237,1.443
1.1538,0.6233,1.44
1.1519,0.623,1.4371
1.1501,0.6226,1.4343
1.1481,0.6223,1.4316
1.1461,0.6221,1.4288
1.1444,0.6218,1.4261
1.1424,0.6215,1.4233
1.1406,0.6213,1.4205
1.1389,0.6213,1.4178
1.1371,0.6211,1.4151
1.1355,0.621,1.4125
1.1339,0.6209,1.4102
1.1322,0.6209,1.4078
