Trajectory Accuracy,Number of Evaluation Points
0.005184517588161614,74
0.006247023367223841,74
0.005597605163165013,74
0.00836669377168583,75
0.0054024129692674385,68
0.00630998218705034,71
0.006630471746367309,76
0.005805337557831743,73
0.005788852896619237,73
0.005790782449366719,76
0.006491044972801496,75
0.007713651656732267,73
0.005294924666215252,75
0.007470666330961626,76
0.007354359239975546,74
0.004810956435031104,70
0.006595679017862855,74
0.00598101142558226,78
0.00843998491630853,78
0.005244099401619474,72
0.006418655286664581,76
0.006604836867755521,73
0.006803252334568935,71
0.007448908698209702,71
0.005733528132531708,75
0.005662060125699732,75
0.006331764954561678,72
0.007862314662167998,70
0.0070508120906464435,75
0.006278908274967037,73
0.007738042483610014,71
0.08837268283870052,82
0.005543353078918059,69
0.9403170963145602,96
0.007214769754565446,71
0.006703865369685764,71
0.005913492974574808,74
0.007162487605081106,74
0.007352659859176511,76
0.007024692508740442,70
0.005839934212592395,68
0.0058794512731351,72
0.008265642413092971,73
0.00603461750345535,73
0.007706650181960052,76
0.008733075379042816,73
0.005389721004773099,73
0.007950280638982843,72
0.005889741333077044,70
0.0064113071034898415,74
1.2119330710370118,107
0.005113291660985099,71
0.005452997205090058,72
0.007831272725236224,71
0.007179643312999653,74
0.006372717022393496,71
0.0055869637643975265,72
0.005987990761158325,72
0.007678760924477149,71
0.004477722634076122,71
0.006345126789725707,74
0.006625347581832497,72
0.006543276519962406,70
0.006017462504544248,70
0.005045865314290029,71
0.005252294436072373,70
0.007561945176466828,73
0.005814765569788623,75
0.007432737900454288,71
1.2061526496852808,113
0.0056241904523636884,69
0.0052639837179427875,73
0.007784794279772938,68
0.006107002353351589,75
0.006968327909750533,73
0.0048140964241349315,68
0.0064087890733406485,71
0.005375668093750986,77
0.005621784618769202,69
0.6876456795654424,89
