tx gt,ty gt,tz gt
-4.1365917622,1.6933613547,-2.3803915386
-4.1368807588,1.6928217099,-2.3814032201
-4.1380719217,1.6930078255,-2.3823795313
-4.1385665017,1.6929452313,-2.3830554607
-4.1528516546,1.699982766,-2.3879161708
-4.1542258014,1.700795969,-2.3878573684
-4.1569215045,1.7026497168,-2.3881984091
-4.1595079417,1.7036070137,-2.3883954241
-4.1624005942,1.704262829,-2.3890142799
-4.1946684398,1.7016127418,-2.4021812542
-4.2010651755,1.7008879884,-2.4051208082
-4.2449678031,1.7091442528,-2.4317242631
-4.2466255926,1.7108501591,-2.4325709318
-4.2475317094,1.7116095306,-2.4329996108
-4.3653075599,1.8181153756,-2.4497839826
-4.3618879888,1.8199306414,-2.4447573582
-4.3552389582,1.8292011904,-2.4373734737
-4.350446016,1.8337304406,-2.4322370931
-4.3434050564,1.8392694339,-2.4255321894
-4.3379959724,1.8457515006,-2.4176544372
-4.3322729884,1.8500354401,-2.4114346163
-4.3242303968,1.8556018072,-2.4027385361
-4.3188755236,1.8587040064,-2.3959798403
-4.310537522,1.8645802625,-2.3862984442
-4.3038530324,1.8708093527,-2.3766709296
-4.2991390125,1.8764127865,-2.3703039302
-4.2920477247,1.8829030929,-2.3600058487
-4.2867508299,1.8878335173,-2.3521853884
-4.2786721966,1.8972730952,-2.3402547253
-4.2737905433,1.9031545363,-2.3320222479
-4.2684729501,1.9106886973,-2.3220003089
-4.2624335282,1.9198032294,-2.3093448785
-4.2594497163,1.9243457864,-2.3010721741
-4.2537240195,1.9325640034,-2.288610177
-4.2471679203,1.9402093231,-2.2761301411
-4.244823653,1.9470112893,-2.2666694596
-4.241938145,1.9523962184,-2.2555695421
-4.239151056,1.9563388833,-2.2472678762
-4.2354200011,1.9607744596,-2.2334727755
-4.2331607445,1.9636099315,-2.2239631539
-4.2292109933,1.9663716132,-2.2109198996
-4.2273133003,1.9700833894,-2.1972124092
-4.2266850116,1.9715034146,-2.1876182266
-4.2244957228,1.9728528797,-2.1743941741
-4.2207034592,1.9760898916,-2.159623982
-4.216673473,1.9796752508,-2.1487088596
-4.2102124561,1.9865195975,-2.1334457126
-4.2061173737,1.9925550998,-2.122619929
-4.200049672,1.9994905433,-2.1083976259
-4.1944741948,2.0052509404,-2.0946498773
-4.189954857,2.0098969421,-2.0835291405
-4.1849491554,2.0167768258,-2.0699271609
-4.1827722895,2.0221547395,-2.0608906432
-4.1789153667,2.0294355497,-2.0474463793
-4.1761017463,2.0347991487,-2.0381129164
-4.1725201461,2.0398389327,-2.0262875524
-4.167893891,2.0456135458,-2.0130814817
-4.1646539866,2.0495658064,-2.004459437
-4.1597158072,2.056153909,-1.9924435459
-4.1229062749,2.0935275861,-1.9008738014
-4.1190884669,2.0952544308,-1.8918716872
-4.1128167595,2.0951483383,-1.8789564573
-4.1079308042,2.0957686923,-1.8684602282
-4.1033480714,2.0979025884,-1.8582223411
-4.0971077451,2.1015074722,-1.8455502399
-4.0915206505,2.1053111689,-1.8360697741
-4.0821892083,2.1102338328,-1.8223250561
-4.0740763258,2.117012183,-1.8092255977
-4.0680529895,2.1241874852,-1.7991930588
-4.0600405589,2.1331234893,-1.7857149515
-4.053665145,2.1394845067,-1.7768375324
-4.0439474029,2.1503755636,-1.7630649167
-4.0366480478,2.1593860152,-1.7526963013
-4.0289330841,2.1696707779,-1.7414844527
-4.0195740137,2.1808020392,-1.7285481762
-4.012588948,2.1870806629,-1.7196718476
-4.0012235192,2.1957640601,-1.7057102124
-3.9913065167,2.2042151047,-1.6935877495
-3.9850234441,2.2103717005,-1.6851989707
