Trajectory Accuracy,Number of Evaluation Points
0.010858661047553099,34
0.006910221921357556,31
0.011238717685544148,30
0.007846256480147936,31
0.008413180711840605,31
0.011279185028198937,29
0.00863059590539141,28
0.011825893914045791,28
0.010150901043244929,30
0.006726133165146533,30
0.007537861601111238,29
0.008253587887567672,30
0.008023895188723235,33
0.025809794179161273,36
0.008206053114591626,30
0.009220607316089981,29
0.00853699675567923,28
0.0105958182799494,30
0.009386332527344648,31
0.00771690484506153,34
0.010762787250082045,30
0.011542272432702417,31
0.009579628044108477,32
0.00712317714595281,29
0.010379277253745855,30
0.008324900747467593,33
0.008695100601093204,31
0.008164769399855174,34
0.00855715967542585,32
0.007819090205864172,29
0.009033179738554284,30
0.008447093529079828,29
0.010696228257769466,31
0.008683369164237528,29
0.011680985964350507,30
0.0074660570433659505,29
0.00823018339039405,31
0.00785061209315196,31
0.011466260866129847,31
0.006891908975913274,31
0.008255940623145013,29
0.00726236540388505,29
0.009020810839880001,30
0.008639325133269204,32
0.008875450636937558,34
0.007676114869142036,30
0.00896075904241441,29
0.009328700547657623,28
0.007919019769047334,28
0.008853919660663043,30
0.00954646576991468,32
0.008390538030174097,30
0.007875279099156206,29
0.008357500713619357,30
0.007424628617672288,30
0.008085062718489577,32
0.00732122578885311,32
0.008468253630178774,29
0.009387812867306588,28
0.008161957644101443,31
0.00812045405694906,30
0.12413590466064674,32
0.009509111394976054,29
0.008999960694894749,30
0.01263274340388786,30
0.010641303897632851,31
0.00827164821014249,30
0.009147801969568546,29
0.00862505585142725,33
0.009039880888253703,28
0.009039128971473388,29
0.006799100395286457,29
0.010666280159203581,33
0.007143740075742617,29
0.007765823190082892,28
0.00918095666178192,31
0.007993112295836262,29
0.008314288821475333,30
0.00821191907396044,31
0.1457467555253681,37
